Season,Rk,Team,Conf,W,L,AdjEM,AdjO,AdjD,AdjT,Luck,OppAdjEM,OppO,OppD,NCAdjEM
2020,1,Kansas,B12,28,3,30.23,115.8,85.5,67.3,0.04,12.66,107.4,94.7,9.58
2020,2,Gonzaga,WCC,31,2,26.95,121.3,94.4,71.9,0.05,2.42,103.5,101,-2.09
2020,3,Baylor,B12,26,4,25.49,113.5,88.1,66.2,0.016,10.2,106.4,96.2,1.38
2020,4,Dayton,A10,29,2,24.93,119.1,94.1,67.6,0.002,2.74,104.1,101.3,-0.74
2020,5,Duke,ACC,25,6,24.62,115.7,91.1,72,-0.009,7.28,106,98.7,2.6
2020,6,San Diego St.,MWC,30,2,24.48,115.1,90.6,64.6,-0.008,2.98,105.3,102.3,-1.8
2020,7,Michigan St.,B10,22,9,24.03,115.2,91.2,69.1,-0.012,12.04,108.6,96.5,1.83
2020,8,Ohio St.,B10,21,10,22.23,114.3,92,66.2,-0.038,11.1,108,96.9,-1.31
2020,9,Louisville,ACC,24,7,21.36,114.5,93.1,67.1,-0.003,7.1,105.3,98.2,-1.09
2020,10,West Virginia,B12,21,10,21.26,108.3,87.1,69.4,-0.028,11.28,107.2,95.9,5.8
2020,11,Maryland,B10,24,7,21.12,113.5,92.4,67,0.037,11.35,107.9,96.6,-0.44
2020,12,Creighton,BE,24,7,20.93,118.2,97.3,68.3,0.072,10.72,107.9,97.2,2.69
2020,13,BYU,WCC,24,8,20.68,116.3,95.6,69.5,-0.028,6.06,106,100,7.4
2020,14,Houston,Amer,23,8,20.39,112.7,92.3,65.7,-0.052,6.33,104.2,97.9,2.56
2020,15,Florida St.,ACC,26,5,20.22,111.7,91.5,69.9,0.065,7.96,106.3,98.4,1.22
2020,16,Michigan,B10,19,12,20.12,113.2,93,68.7,-0.048,12.79,110.2,97.4,2
2020,17,Oregon,P12,24,7,20,117.1,97.1,65,0.023,8.15,105.6,97.4,4.11
2020,18,Villanova,BE,24,7,19.98,113.9,94,66.2,0.082,10.88,108.2,97.3,4.22
