game_id,away_seed,away_team,home_seed,home_team,advance_to,home_win_chance,sim_reroll,sim_winner
1,HinkleOne16a,PVAM,HinkleOne16b,NCAT,5,0,TBD,TBD
2,HinkleOne12a,STLOU,HinkleOne12b,NCAR,7,0,TBD,TBD
3,HinkeTwo16a,CLVST,HinkleTwo16b,TXST,13,0,TBD,TBD
4,HinkleTwo12a,IND,HinkleTwo12b,COL,15,0,TBD,TBD
5,TBD,TBD,HinkleOne1,GNZG,37,0,TBD,TBD
6,HinkleOne9,MARY,HinkleOne8,LOU,37,0,TBD,TBD
7,TBD,TBD,HinkleOne5,TXTECH,38,0,TBD,TBD
8,HinkleOne13,BELM,HinkleOne4,TENN,38,0,TBD,TBD
9,HinkleOne11,STBON,HinkleOne6,OKST,39,0,TBD,TBD
10,HinkleOne14,SDKST,HinkleOne3,IOWA,39,0,TBD,TBD
11,HinkleOne10,WKENT,HinkleOne7,WISC,40,0,TBD,TBD
12,HinkleOne15,EWASH,HinkleOne2,OKL,40,0,TBD,TBD
13,TBD,TBD,HinkleTwo1,BAYL,41,0,TBD,TBD
14,HinkleTwo9,BOISE,HinkleTwo8,XAV,41,0,TBD,TBD
15,TBD,TBD,HinkleTwo5,VIR,42,0,TBD,TBD
16,HinkleTwo13,NTX,HinkleTwo4,MISSR,42,0,TBD,TBD
17,HinkleTwo11,DRAKE,HinkleTwo6,PUR,43,0,TBD,TBD
18,HinkleTwo14,LIBRTY,HinkleTwo3,FLST,43,0,TBD,TBD
19,HinkleTwo10,SDST,HinkleTwo7,CREIGH,44,0,TBD,TBD
20,HinkleTwo15,SIENA,HinkleTwo2,ILL,44,0,TBD,TBD
21,BankersLifeOne16,JMAD,BankersLifeOne1,OHIOST,49,0,TBD,TBD
22,BankersLifeOne9,UCLA,BankersLifeOne8,LSU,49,0,TBD,TBD
23,BankersLifeOne12,USCB,BankersLifeOne5,CLMSN,50,0,TBD,TBD
24,BankersLifeOne13,TOLEDO,BankersLifeOne4,KAN,50,0,TBD,TBD
25,BankersLifeOne11,LOYCH,BankersLifeOne6,ARK,51,0,TBD,TBD
26,BankersLifeOne14,ABCHR,BankersLifeOne3,HOU,51,0,TBD,TBD
27,BankersLifeOne10,ORE,BankersLifeOne7,RUTGER,52,0,TBD,TBD
28,BankersLifeOne15,GCAN,BankersLifeOne2,ALA,52,0,TBD,TBD
29,BankersLifeTwo16,UMBC,BankersLifeOne1,MICH,45,0,TBD,TBD
30,BankersLifeTwo9,UCONN,BankersLifeOne8,BYU,45,0,TBD,TBD
31,BankersLifeTwo12,WINTH,BankersLifeOne5,TX,46,0,TBD,TBD
32,BankersLifeTwo13,FURMAN,BankersLifeOne4,VTECH,46,0,TBD,TBD
33,BankersLifeTwo11,WICHST,BankersLifeOne6,USC,47,0,TBD,TBD
34,BankersLifeTwo14,COLG,BankersLifeOne3,WVIR,47,0,TBD,TBD
35,BankersLifeTwo10,COLST,BankersLifeOne7,FL,48,0,TBD,TBD
36,BankersLifeTwo15,BRYANT,BankersLifeOne2,VILL,48,0,TBD,TBD
37,TBD,TBD,TBD,TBD,53,0,TBD,TBD
38,TBD,TBD,TBD,TBD,53,0,TBD,TBD
39,TBD,TBD,TBD,TBD,54,0,TBD,TBD
40,TBD,TBD,TBD,TBD,54,0,TBD,TBD
41,TBD,TBD,TBD,TBD,55,0,TBD,TBD
42,TBD,TBD,TBD,TBD,55,0,TBD,TBD
43,TBD,TBD,TBD,TBD,56,0,TBD,TBD
44,TBD,TBD,TBD,TBD,56,0,TBD,TBD
45,TBD,TBD,TBD,TBD,57,0,TBD,TBD
46,TBD,TBD,TBD,TBD,57,0,TBD,TBD
47,TBD,TBD,TBD,TBD,58,0,TBD,TBD
48,TBD,TBD,TBD,TBD,58,0,TBD,TBD
49,TBD,TBD,TBD,TBD,59,0,TBD,TBD
50,TBD,TBD,TBD,TBD,59,0,TBD,TBD
51,TBD,TBD,TBD,TBD,60,0,TBD,TBD
52,TBD,TBD,TBD,TBD,60,0,TBD,TBD
53,TBD,TBD,TBD,TBD,61,0,TBD,TBD
54,TBD,TBD,TBD,TBD,61,0,TBD,TBD
55,TBD,TBD,TBD,TBD,62,0,TBD,TBD
56,TBD,TBD,TBD,TBD,62,0,TBD,TBD
57,TBD,TBD,TBD,TBD,63,0,TBD,TBD
58,TBD,TBD,TBD,TBD,63,0,TBD,TBD
59,TBD,TBD,TBD,TBD,64,0,TBD,TBD
60,TBD,TBD,TBD,TBD,64,0,TBD,TBD
61,TBD,TBD,TBD,TBD,65,0,TBD,TBD
62,TBD,TBD,TBD,TBD,65,0,TBD,TBD
63,TBD,TBD,TBD,TBD,66,0,TBD,TBD
64,TBD,TBD,TBD,TBD,66,0,TBD,TBD
65,TBD,TBD,TBD,TBD,67,0,TBD,TBD
66,TBD,TBD,TBD,TBD,67,0,TBD,TBD
67,TBD,TBD,TBD,TBD,68,0,TBD,TBD
