fd_team_id,fd_key,fd_school,fd_name,kenpom_team
1,SMU,SMU,Mustangs,SMU
2,TEMPL,Temple,Owls,Temple
3,UCONN,Connecticut,Huskies,Connecticut
4,CIN,Cincinnati,Bearcats,Cincinnati
5,TULSA,Tulsa,Golden Hurricane,Tulsa
6,HOU,Houston,Cougars,Houston
7,MPHS,Memphis,Tigers,Memphis
8,UCF,UCF,Knights,UCF
9,ECAR,East Carolina,Pirates,East Carolina
10,TULANE,Tulane,Green Wave,Tulane
11,SFL,South Florida,Bulls,South Florida
12,STBR,Stony Brook,Seawolves,Stony Brook
13,ALBNY,Albany,Great Danes,Albany
14,NHAMP,New Hampshire,Wildcats,New Hampshire
15,VERM,Vermont,Catamounts,Vermont
16,MASLOW,Massachusetts-Lowell,River Hawks,UMass Lowell
17,MAINE,Maine,Black Bears,Maine
18,HARTFD,Hartford,Hawks,Hartford
19,UMBC,UMBC,Retrievers,UMBC
20,BING,Binghamton,Bearcats,Binghamton
21,NCAR,North Carolina,Tar Heels,North Carolina
22,VIR,Virginia,Cavaliers,Virginia
23,MIA,Miami (FL),Hurricanes,Miami FL
24,LOU,Louisville,Cardinals,Louisville
25,ND,Notre Dame,Fighting Irish,Notre Dame
26,DUKE,Duke,Blue Devils,Duke
27,CLMSN,Clemson,Tigers,Clemson
28,PITT,Pittsburgh,Panthers,Pittsburgh
29,FLST,Florida State,Seminoles,Florida St.
30,SYRA,Syracuse,Orange,Syracuse
31,VTECH,Virginia Tech,Hokies,Virginia Tech
32,GTECH,Georgia Tech,Yellow Jackets,Georgia Tech
33,NCST,North Carolina State,Wolfpack,N.C. State
34,WAKE,Wake Forest,Demon Deacons,Wake Forest
35,BOSCOL,Boston College,Eagles,Boston College
36,NFL,North Florida,Ospreys,North Florida
37,JAX,Jacksonville,Dolphins,Jacksonville
38,FLGC,FGCU,Eagles,Florida Gulf Coast
39,NJIT,NJIT,Highlanders,NJIT
40,LIPSC,Lipscomb,Bisons,Lipscomb
41,STETSN,Stetson,Hatters,Stetson
42,KENEST,Kennesaw State,Owls,Kennesaw St.
43,SCUP,USC Upstate,Spartans,USC Upstate
44,DAY,Dayton,Flyers,Dayton
45,VCU,VCU,Rams,VCU
46,STJOE,Saint Joseph's,Hawks,Saint Joseph's
47,STBON,St. Bonaventure,Bonnies,St. Bonaventure
48,GEOWS,George Washington,Colonials,George Washington
49,DAVID,Davidson,Wildcats,Davidson
50,RI,Rhode Island,Rams,Rhode Island
51,DUQ,Duquesne,Dukes,Duquesne
52,RICH,Richmond,Spiders,Richmond
53,FORDM,Fordham,Rams,Fordham
54,STLOU,Saint Louis,Billikens,Saint Louis
55,UMASS,Massachusetts,Minutemen,Massachusetts
56,GMSN,George Mason,Patriots,George Mason
57,LASAL,La Salle,Explorers,La Salle
58,VILL,Villanova,Wildcats,Villanova
59,XAV,Xavier,Musketeers,Xavier
60,SETON,Seton Hall,Pirates,Seton Hall
61,CREIGH,Creighton,Bluejays,Creighton
62,GEORGE,Georgetown,Hoyas,Georgetown
63,PROV,Providence,Friars,Providence
64,BUTL,Butler,Bulldogs,Butler
65,MARQ,Marquette,Golden Eagles,Marquette
66,DEPAUL,DePaul,Blue Demons,DePaul
67,STJOHN,St. John's,Red Storm,St. John's
68,MONT,Montana,Grizzlies,Montana
69,WEBST,Weber State,Wildcats,Weber St.
70,EWASH,Eastern Washington,Eagles,Eastern Washington
71,NDAK,North Dakota,Fighting Hawks,North Dakota
72,IDHST,Idaho State,Bengals,Idaho St.
73,IDAHO,Idaho,Vandals,Idaho
74,MONST,Montana State,Bobcats,Montana St.
75,NCOL,Northern Colorado,Bears,Northern Colorado
76,PORTST,Portland State,Vikings,Portland St.
77,SACST,Sacramento State,Hornets,Sacramento St.
78,SUTAH,Southern Utah,Thunderbirds,Southern Utah
79,NARZ,Northern Arizona,Lumberjacks,Northern Arizona
80,NCASHE,UNC Asheville,Bulldogs,UNC Asheville
81,COAST,Coastal Carolina,Chanticleers,Coastal Carolina
82,WINTH,Winthrop,Eagles,Winthrop
83,GARDWB,Gardner-Webb,Runnin' Bulldogs,Gardner Webb
84,LIBRTY,Liberty,Flames,Liberty
85,HPNT,High Point,Panthers,High Point
86,RADF,Radford,Highlanders,Radford
87,LONGWD,Longwood,Lancers,Longwood
88,CHSOU,Charleston Southern,Buccaneers,Charleston Southern
89,PRESB,Presbyterian,Blue Hose,Presbyterian
90,CAMP,Campbell,Fighting Camels,Campbell
91,IOWA,Iowa,Hawkeyes,Iowa
92,MARY,Maryland,Terrapins,Maryland
93,IND,Indiana,Hoosiers,Indiana
94,PUR,Purdue,Boilermakers,Purdue
95,MICH,Michigan,Wolverines,Michigan
96,WISC,Wisconsin,Badgers,Wisconsin
97,MST,Michigan State,Spartans,Michigan St.
98,OHIOST,Ohio State,Buckeyes,Ohio St.
99,NEBR,Nebraska,Cornhuskers,Nebraska
100,NW,Northwestern,Wildcats,Northwestern
101,PENNST,Penn State,Nittany Lions,Penn St.
102,ILL,Illinois,Fighting Illini,Illinois
103,RUTGER,Rutgers,Scarlet Knights,Rutgers
104,MINNST,Minnesota,Golden Gophers,Minnesota
105,OKL,Oklahoma,Sooners,Oklahoma
106,KAN,Kansas,Jayhawks,Kansas
107,WVIR,West Virginia,Mountaineers,West Virginia
108,BAYL,Baylor,Bears,Baylor
109,TX,Texas,Longhorns,Texas
110,IOWAST,Iowa State,Cyclones,Iowa St.
111,TXTECH,Texas Tech,Red Raiders,Texas Tech
112,KANST,Kansas State,Wildcats,Kansas St.
113,OKST,Oklahoma State,Cowboys,Oklahoma St.
